out_name,frequency,units,long_name,standard_name,priority,comment,cell_methods,cell_measures,dimensions,type,positive,valid_min,valid_max,ok_min_mean_abs,ok_max_mean_abs
ts,day,K,Surface Temperature,surface_temperature,TIER1,#T33,area: time: mean,area: areacella,longitude latitude time,real,,,,,
ua1000,day,m s-1,Eastward Wind,eastward_wind,TIER1,#T33,area: time: mean,area: areacella,longitude latitude time p1000,real,,,,,
ua1000,1hr,m s-1,Eastward Wind,eastward_wind,TIER1,#T33,area: mean time: point,area: areacella,longitude latitude time1 p1000,real,,,,,
ua925,day,m s-1,Eastward Wind,eastward_wind,TIER1,#T33,area: time: mean,area: areacella,longitude latitude time p925,real,,,,,
ua925,1hr,m s-1,Eastward Wind,eastward_wind,TIER1,#T33,area: mean time: point,area: areacella,longitude latitude time1 p925,real,,,,,
ua850,day,m s-1,Eastward Wind,eastward_wind,TIER1,#T33,area: time: mean,area: areacella,longitude latitude time p850,real,,,,,
ua850,1hr,m s-1,Eastward Wind,eastward_wind,TIER1,#T33,area: mean time: point,area: areacella,longitude latitude time1 p850,real,,,,,
ua700,day,m s-1,Eastward Wind,eastward_wind,TIER1,#T33,area: time: mean,area: areacella,longitude latitude time p700,real,,,,,
ua700,1hr,m s-1,Eastward Wind,eastward_wind,TIER1,#T33,area: mean time: point,area: areacella,longitude latitude time1 p700,real,,,,,
ua500,day,m s-1,Eastward Wind,eastward_wind,TIER1,#T33 #WP4,area: time: mean,area: areacella,longitude latitude time p500,real,,,,,
ua500,1hr,m s-1,Eastward Wind,eastward_wind,TIER1,#T33,area: mean time: point,area: areacella,longitude latitude time1 p500,real,,,,,
ua200,day,m s-1,Eastward Wind,eastward_wind,TIER1,#T33,area: time: mean,area: areacella,longitude latitude time p200,real,,,,,
ua200,1hr,m s-1,Eastward Wind,eastward_wind,TIER1,#T33,area: mean time: point,area: areacella,longitude latitude time1 p200,real,,,,,
va1000,day,m s-1,Northward Wind,northward_wind,TIER1,#T33,area: time: mean,area: areacella,longitude latitude time p1000,real,,,,,
va1000,1hr,m s-1,Northward Wind,northward_wind,TIER1,#T33,area: mean time: point,area: areacella,longitude latitude time1 p1000,real,,,,,
va925,day,m s-1,Northward Wind,northward_wind,TIER1,#T33,area: time: mean,area: areacella,longitude latitude time p925,real,,,,,
va925,1hr,m s-1,Northward Wind,northward_wind,TIER1,#T33,area: mean time: point,area: areacella,longitude latitude time1 p925,real,,,,,
va850,day,m s-1,Northward Wind,northward_wind,TIER1,#T33,area: time: mean,area: areacella,longitude latitude time p850,real,,,,,
va850,1hr,m s-1,Northward Wind,northward_wind,TIER1,#T33,area: mean time: point,area: areacella,longitude latitude time1 p850,real,,,,,
va700,day,m s-1,Northward Wind,northward_wind,TIER1,#T33,area: time: mean,area: areacella,longitude latitude time p700,real,,,,,
va700,1hr,m s-1,Northward Wind,northward_wind,TIER1,#T33,area: mean time: point,area: areacella,longitude latitude time1 p700,real,,,,,
va500,day,m s-1,Northward Wind,northward_wind,TIER1,#T33 #WP4,area: time: mean,area: areacella,longitude latitude time p500,real,,,,,
va500,1hr,m s-1,Northward Wind,northward_wind,TIER1,#T33,area: mean time: point,area: areacella,longitude latitude time1 p500,real,,,,,
